"nExp","cDis","nDis","cBar","nBar","cCar","nCar","dSet","nMes","mes","dia","hora","torn","causa","morts","lesLl","lesGr","vict","vehi","UTMX","UTMY","long","lat","nPos","dTVehImp","sexe","edat","dTPers","dLlAtrVia","dMotDesVia","dMotDespCon","dVict","accbici"
"2022S002085    ",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",335654,"Alberes                                           ","Divendres",4,"Abril",8,17,"Tarda","No és causa del  vianant",0,1,0,1,2,425276.21,4585300.89,2.10476673175137,41.4139419814882,"000020000","Bicicleta","Dona",33,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002103    ",4,"Les Corts",21,"Pedralbes",6404,"Diagonal                                          ","Dissabte",4,"Abril",9,8,"Matí","No és causa del  vianant",0,1,0,1,2,425404.65,4581888.6,2.10672416183253,41.3832210466483,"0001 0001","Bicicleta","Home",49,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Activitat esportiva particular","Ferit lleu: Hospitalització fins a 24h",1
"2022S002113    ",7,"Horta-Guinardó",38,"la Teixonera",41700,"Mare de Déu dels Àngels / Besòs                   ","Dissabte",4,"Abril",9,12,"Matí","Creuar per fora pas de vianants",0,2,0,2,1,428942.93,4586154,2.14853584523976,41.4219584475245,"0031 0031","Bicicleta","Home",49,"Conductor","Fora del pas                                                                                                                                          ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002113    ",7,"Horta-Guinardó",38,"la Teixonera",41700,"Mare de Déu dels Àngels / Besòs                   ","Dissabte",4,"Abril",9,12,"Matí","Creuar per fora pas de vianants",0,2,0,2,1,428942.93,4586154,2.14853584523976,41.4219584475245,"0031 0031","Bicicleta","Home",83,"Vianant","Fora del pas                                                                                                                                          ","Altres activitats","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002120    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó                                             ","Diumenge",4,"Abril",10,12,"Matí","No és causa del  vianant",0,1,0,1,1,430865.31,4583386.16,2.17185511891559,41.3971973149919,"0370 0370","Bicicleta","Dona",60,"Vianant","Altres                                                                                                                                                ","Altres activitats","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002134    ",10,"Sant Martí",68,"el Poblenou",346800,"Poblenou                                          ","Dilluns",4,"Abril",11,9,"Matí","No és causa del  vianant",0,1,0,1,2,433482.87,4583618,2.20313909541876,41.3995064265,"0035 0035","Bicicleta","Dona",1,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002149    ",2,"Eixample",5,"el Fort Pienc",325005,"Sicília                                           ","Dimarts",4,"Abril",12,0,"Nit","No és causa del  vianant",0,1,0,1,1,431413.43,4583438.42,2.17840540312393,41.3977149849136,"0137 0139","Bicicleta","Dona",27,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S002186    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",362001,"Corts Catalanes / Vilamarí                        ","Dijous",4,"Abril",14,12,"Matí","No és causa del  vianant",0,1,0,1,1,429165.19,4581164.97,2.15177957232199,41.3770437354376,"0043 0045","Bicicleta","Dona",52,"Vianant","En pas regulat per semàfor                                                                                                                            ","Es desconeix","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002196    ",6,"Gràcia",31,"la Vila de Gràcia",171604,"Joan Blanques / Encarnació                        ","Dijous",4,"Abril",14,19,"Tarda","No és causa del  vianant",0,1,0,1,2,429847.36,4584383.53,2.15956350716337,41.4060920341965,"0056 0056","Bicicleta","Home",18,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002209    ",6,"Gràcia",28,"Vallcarca i els Penitents",123408,"Lesseps / República Argentina                     ","Dissabte",4,"Abril",16,0,"Nit","No és causa del  vianant",0,2,0,2,2,428967.21,4584479.36,2.14902317181064,41.4068777799065,"0025 0025","Bicicleta","Home",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S002217    ",4,"Les Corts",19,"les Corts",89605,"Constança                                         ","Dijous",4,"Abril",14,14,"Tarda","No és causa del  vianant",0,1,0,1,2,427879.38,4582385.38,2.13625916801033,41.3879211961569,"0002 0004","Bicicleta","Home",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002227    ",2,"Eixample",7,"la Dreta de l'Eixample",89004,"Consell de Cent / Bailèn                          ","Diumenge",4,"Abril",17,11,"Matí","No és causa del  vianant",0,1,0,1,2,430878.56,4583234.65,2.1720309162259,41.3958338524274,"0386B0386B","Bicicleta","Home",47,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002234    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",363809,"Aragó / Villarroel                                ","Diumenge",4,"Abril",17,21,"Tarda","No és causa del  vianant",0,1,0,1,2,429544.56,4582114.92,2.15620534775251,41.3856329573129,"0117 0117","Bicicleta","Home",18,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S002244    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",268003,"Casanova / Provença                               ","Dilluns",4,"Abril",18,16,"Tarda","No és causa del  vianant",0,1,0,1,2,429361.23,4582493.6,2.15396869534848,41.3890275066726,"0184 0184","Bicicleta","Home",16,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002245    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",100800,"Diputació / Aribau                                ","Dilluns",4,"Abril",18,16,"Tarda","No és causa del  vianant",0,1,0,1,2,430018.62,4582204.72,2.16186429528739,41.3864831727446,"0209 0209","Bicicleta","Home",40,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S002259    ",8,"Nou Barris",53,"la Trinitat Nova",4409,"Aiguablava                                        ","Dimarts",4,"Abril",19,17,"Tarda","No és causa del  vianant",0,2,0,2,2,432139.99,4589564.32,2.18640791469951,41.4529506543925,"0092X0092X","Bicicleta","Home",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002287    ",10,"Sant Martí",65,"el Clot",226400,"Las Navas de Tolosa                               ","Dimecres",4,"Abril",20,18,"Tarda","No és causa del  vianant",0,2,0,2,3,432390.01,4585144.29,2.18989592717839,41.4131620408794,"0232 0232","Bicicleta","Dona",22,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002307    ",2,"Eixample",7,"la Dreta de l'Eixample",350308,"València                                          ","Dimecres",4,"Abril",20,19,"Tarda","No és causa del  vianant",0,1,0,1,2,430452.5,4583209.48,2.1669377095291,41.395570387157,"0293 0295","Bicicleta","Dona",28,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002326    ",2,"Eixample",6,"la Sagrada Família",225500,"Nàpols                                            ","Divendres",4,"Abril",22,17,"Tarda","No és causa del  vianant",0,1,0,1,1,430764.19,4583943.04,2.17058185585939,41.4022042445128,"0262 0264","Bicicleta","Dona",19,"Conductor","Fora del pas                                                                                                                                          ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002330    ",2,"Eixample",6,"la Sagrada Família",268003,"Provença / Cartagena                              ","Divendres",4,"Abril",22,13,"Matí","No és causa del  vianant",0,1,0,1,2,431461.53,4584551.41,2.17885461262496,41.4077434452548,"0528 0528","Bicicleta","Home",11,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002348    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",700122,"Longitudinal 5 / Transversal 9                    ","Divendres",4,"Abril",22,16,"Tarda","No és causa del  vianant",0,1,0,1,2,426321.07,4575916.69,2.11840897487497,41.3295188435493,"0083 0087","Bicicleta","Dona",41,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002361    ",2,"Eixample",6,"la Sagrada Família",90502,"Còrsega / Lepant                                  ","Divendres",4,"Abril",22,21,"Tarda","Desobeir el senyal del semàfor",0,1,0,1,1,430992.2,4584476.26,2.17324850309151,41.4070264035804,"0567 0569","Bicicleta","Dona",33,"Vianant","En pas regulat per semàfor                                                                                                                            ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002367    ",2,"Eixample",7,"la Dreta de l'Eixample",100800,"Diputació / Girona                                ","Dissabte",4,"Abril",23,17,"Tarda","No és causa del  vianant",0,1,0,1,3,430876.43,4583046.5,2.17202693529718,41.3941390611984,"0331 0331","Bicicleta","Home",17,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002369    ",2,"Eixample",7,"la Dreta de l'Eixample",74506,"València / Catalunya                              ","Dissabte",4,"Abril",23,18,"Tarda","No és causa del  vianant",0,1,0,1,2,430061.22,4582806.77,2.16230418581817,41.3919093483481,"0074 0074","Bicicleta","Home",20,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002376    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",139805,"Diagonal / Ganduxer                               ","Diumenge",4,"Abril",24,12,"Matí","No és causa del  vianant",0,1,0,1,2,428145.43,4582763.57,2.1393960781288,41.3913512395186,"0001 0001","Bicicleta","Dona",37,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002378    ",4,"Les Corts",19,"les Corts",199909,"Marquès de Sentmenat                              ","Diumenge",4,"Abril",24,14,"Tarda","No és causa del  vianant",0,1,0,1,2,427932.1,4582045.23,2.13693016795216,41.3848623242074,"0038 0038","Bicicleta","Home",52,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002386    ",2,"Eixample",6,"la Sagrada Família",325005,"Sicília                                           ","Diumenge",4,"Abril",24,20,"Tarda","Creuar per fora pas de vianants",0,1,0,1,1,430995.01,4583867.09,2.17335162985536,41.401540049157,"0221 0223","Bicicleta","Home",63,"Vianant","Fora del pas                                                                                                                                          ","Oci i entreteniment","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002391    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes / Castillejos                     ","Dilluns",4,"Abril",25,0,"Nit","No és causa del  vianant",0,1,0,1,2,431937.47,4583875.38,2.18462447624276,41.4016951231665,"Desconegut","Bicicleta","Dona",29,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002399    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana / Felip II                              ","Dilluns",4,"Abril",25,8,"Matí","No és causa del  vianant",0,1,0,1,2,432147.88,4585942.07,2.18690945952973,41.4203269700662,"0249 0249","Bicicleta","Home",60,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002407    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó / Muntaner                                  ","Dilluns",4,"Abril",25,11,"Matí","No és causa del  vianant",0,1,0,1,2,429735.29,4582301.52,2.15846464370575,41.3873302981637,"0194 0206","Bicicleta","Dona",18,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002416    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó / Roger de Llúria                           ","Dilluns",4,"Abril",25,17,"Tarda","Desobeir el senyal del semàfor",0,1,0,1,1,430498.67,4583050.27,2.1675082349595,41.3941404294405,"0294 0294","Bicicleta","Home",52,"Conductor","En pas regulat per semàfor                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002433    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",132908,"Ramon Trias Fargas / Villena                      ","Dimarts",4,"Abril",26,8,"Matí","No és causa del  vianant",0,1,0,1,1,432589.97,4582437.6,2.19258996672209,41.388800447376,"0024X0024X","Bicicleta","Home",56,"Vianant","En pas sense regular                                                                                                                                  ","Altres activitats","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002459    ",1,"Ciutat Vella",1,"el Raval",198804,"Paral·lel / Nou de la Rambla                      ","Dimarts",4,"Abril",26,20,"Tarda","No és causa del  vianant",0,3,0,3,2,430686.86,4580920.06,2.17000302952286,41.374970528457,"0060X0060X","Bicicleta","Home",20,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Rebutja assistència sanitària",1
"2022S002465    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel / Calàbria                              ","Dimecres",4,"Abril",27,8,"Matí","Desobeir el senyal del semàfor",0,1,0,1,1,429928.43,4580928.19,2.1609334246429,41.3749780138172,"0115B0115B","Bicicleta","Home",28,"Conductor","En pas regulat per semàfor                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002468    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",169409,"Vilamarí / Corts Catalanes                        ","Dimecres",4,"Abril",27,12,"Matí","No és causa del  vianant",0,1,0,1,2,429165.19,4581164.97,2.15177957232199,41.3770437354376,"0407 0409","Bicicleta","Dona",21,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002505    ",2,"Eixample",7,"la Dreta de l'Eixample",335100,"Sant Joan / Casp                                  ","Dijous",4,"Abril",28,17,"Tarda","No és causa del  vianant",0,1,0,1,2,431275.84,4583019.17,2.17680726366884,41.3939271697303,"0001 0001","Bicicleta","Home",27,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002513    ",2,"Eixample",7,"la Dreta de l'Eixample",145003,"Girona                                            ","Divendres",4,"Abril",29,14,"Tarda","Creuar per fora pas de vianants",0,1,0,1,1,430364.13,4583555.65,2.16584087474768,41.3986805714599,"0149 0149","Bicicleta","Home",89,"Vianant","Altres                                                                                                                                                ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002539    ",2,"Eixample",7,"la Dreta de l'Eixample",144601,"Diagonal                                          ","Dijous",4,"Abril",28,15,"Tarda","No és causa del  vianant",0,1,0,1,2,430368.98,4583521.24,2.16590284891048,41.3983710724456,"0400 0400","Bicicleta","Home",44,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002548    ",7,"Horta-Guinardó",33,"el Baix Guinardó",344101,"Gràcia                                            ","Dissabte",4,"Abril",30,20,"Tarda","No és causa del  vianant",0,1,0,1,2,430728.04,4584685.02,2.17006442581503,41.4088838932455,"0377 0377","Bicicleta","Dona",44,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002564    ",7,"Horta-Guinardó",35,"el Guinardó",194406,"Maragall                                          ","Diumenge",5,"Maig",1,18,"Tarda","No és causa del  vianant",0,1,0,1,2,431586.41,4585657.64,2.18022337715705,41.4177175492882,"0075 0077","Bicicleta","Home",5,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002574    ",2,"Eixample",6,"la Sagrada Família",238400,"València / Padilla                                ","Dilluns",5,"Maig",2,8,"Matí","No és causa del  vianant",0,2,0,2,3,431460.95,4584179.19,2.17888986415831,41.4043909277609,"0229 0235","Bicicleta","Home",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002574    ",2,"Eixample",6,"la Sagrada Família",238400,"València / Padilla                                ","Dilluns",5,"Maig",2,8,"Matí","No és causa del  vianant",0,2,0,2,3,431460.95,4584179.19,2.17888986415831,41.4043909277609,"0229 0235","Bicicleta","Home",25,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002622    ",2,"Eixample",6,"la Sagrada Família",292201,"Sagrada Família                                   ","Dimarts",5,"Maig",3,18,"Tarda","No és causa del  vianant",0,1,0,1,2,430903.95,4584025.24,2.1722442975766,41.4029566273081,"0008 0008","Bicicleta","Dona",48,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002625    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació                                         ","Dimarts",5,"Maig",3,19,"Tarda","No és causa del  vianant",0,2,0,2,2,429501.78,4581716.04,2.15574018918712,41.3820366271716,"0107 0107","Bicicleta","Dona",37,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002625    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació                                         ","Dimarts",5,"Maig",3,19,"Tarda","No és causa del  vianant",0,2,0,2,2,429501.78,4581716.04,2.15574018918712,41.3820366271716,"0107 0107","Bicicleta","Dona",51,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002657    ",6,"Gràcia",28,"Vallcarca i els Penitents",153704,"Sant Cugat / Gutenberg                            ","Dijous",5,"Maig",5,9,"Matí","Desobeir el senyal del semàfor",0,1,0,1,1,428111.71,4585762.28,2.13863631646663,41.4183563857551,"0002 0010","Bicicleta","Home",28,"Conductor","En pas regulat per semàfor                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002678    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",28000,"Augusta                                           ","Dijous",5,"Maig",5,15,"Tarda","Creuar per fora pas de vianants",0,1,0,1,1,427436.62,4583469.93,2.13083395609933,41.3976494440778,"0275 0275","Bicicleta","Dona",43,"Vianant","A la vorera / Andana                                                                                                                                  ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002685    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell                                    ","Divendres",5,"Maig",6,11,"Matí","No és causa del  vianant",0,1,0,1,2,429677.63,4581764.51,2.15783744894234,41.3824885836217,"0067 0067","Bicicleta","Dona",27,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002697    ",7,"Horta-Guinardó",35,"el Guinardó",152905,"Guinardó                                          ","Divendres",5,"Maig",6,16,"Tarda","No és causa del  vianant",0,1,0,1,2,430765.4,4585196.94,2.17045274982016,41.4134978028945,"0083 0083","Bicicleta","Home",32,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002699    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",700756,"Marítim del Bogatell                              ","Divendres",5,"Maig",6,17,"Tarda","No és causa del  vianant",0,1,0,1,2,433948.86,4583264.96,2.20875171445914,41.3963651294635,"0102 0102","Bicicleta","Dona",20,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002706    ",2,"Eixample",6,"la Sagrada Família",73900,"Castillejos                                       ","Divendres",5,"Maig",6,17,"Tarda","No és causa del  vianant",0,1,0,1,2,431859.39,4583939.12,2.18368329312468,41.4022625906624,"0180 0184","Bicicleta","Dona",17,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002708    ",2,"Eixample",5,"el Fort Pienc",18505,"Aragó / Sicília                                   ","Divendres",5,"Maig",6,21,"Tarda","No és causa del  vianant",0,1,0,1,2,431167.04,4583702.85,2.17542815357121,41.4000755508619,"0426 0428","Bicicleta","Home",36,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002714    ",2,"Eixample",5,"el Fort Pienc",144601,"Lepant / Diagonal                                 ","Dissabte",5,"Maig",7,9,"Matí","No és causa del  vianant",0,2,0,2,2,431572.72,4583884.01,2.18026032177843,41.401741862269,"0253 0253","Bicicleta","Dona",31,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002731    ",1,"Ciutat Vella",1,"el Raval",296508,"Sant Antoni                                       ","Dissabte",5,"Maig",7,23,"Nit","No és causa del  vianant",0,1,0,1,1,430189.55,4581878.03,2.16394616771735,41.3835556444951,"0080 0080","Bicicleta","Dona",33,"Vianant","A la vorera / Andana                                                                                                                                  ","Altres activitats","Desconegut","Ferit lleu: Rebutja assistència sanitària",1
"2022S002740    ",1,"Ciutat Vella",1,"el Raval",701349,"Drassanes / Josep Carner                          ","Diumenge",5,"Maig",8,13,"Matí","No és causa del  vianant",0,1,0,1,2,431242.62,4580854.67,2.17665578003065,41.3744292968808,"0001 0001","Bicicleta","Dona",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002750    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",700654,"Litoral                                           ","Diumenge",5,"Maig",8,14,"Tarda","No és causa del  vianant",0,1,0,1,2,433340.44,4582687.96,2.20153785527561,41.3911179811019,"0042 0056","Bicicleta","Home",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002754    ",2,"Eixample",7,"la Dreta de l'Eixample",335100,"Sant Joan / Diputació                             ","Dilluns",5,"Maig",9,9,"Matí","No és causa del  vianant",0,2,0,2,2,431068.55,4583231.96,2.17430369454852,41.3958259470673,"0023 0023","Bicicleta","Dona",36,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
"2022S002808    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",244300,"Diagonal                                          ","Dimarts",5,"Maig",10,9,"Matí","No és causa del  vianant",0,1,0,1,2,426848.13,4582296.78,2.12393673019837,41.3870300118751,"0003 0003","Bicicleta","Home",31,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002819    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",331507,"Diputació / Tarragona                             ","Dimecres",5,"Maig",11,14,"Tarda","No és causa del  vianant",0,1,0,1,2,428866.53,4581079.66,2.14821836891176,41.3762490087842,"0072U0072U","Bicicleta","Dona",14,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002830    ",2,"Eixample",10,"Sant Antoni",308709,"Sant Pau                                          ","Dimecres",5,"Maig",11,17,"Tarda","No és causa del  vianant",0,1,0,1,2,430453.52,4580969.09,2.16720731377165,41.3753919779653,"0001 0001","Bicicleta","Dona",33,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002837    ",6,"Gràcia",31,"la Vila de Gràcia",344101,"Gràcia                                            ","Dimecres",5,"Maig",11,18,"Tarda","No és causa del  vianant",0,1,0,1,1,430141.99,4584236.33,2.16310512769863,41.4047919358463,"0267 0267","Bicicleta","Dona",55,"Vianant","En pas regulat per semàfor                                                                                                                            ","Oci i entreteniment","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002849    ",1,"Ciutat Vella",3,"la Barceloneta",10900,"Pepe Rubianes                                     ","Dijous",5,"Maig",12,17,"Tarda","Creuar per fora pas de vianants",0,1,0,1,1,432370.4,4581279.61,2.19009332850795,41.3783522792776,"0020 0020","Bicicleta","Dona",60,"Vianant","Fora del pas                                                                                                                                          ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002864    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó / Pau Claris                                ","Dijous",5,"Maig",12,18,"Tarda","No és causa del  vianant",0,1,0,1,2,430403.06,4582955.17,2.16637561346116,41.3932756188303,"0286 0286","Bicicleta","Dona",27,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S002868    ",3,"Sants-Montjuïc",15,"Hostafrancs",169409,"Corts Catalanes                                   ","Divendres",5,"Maig",13,10,"Matí","No és causa del  vianant",0,1,0,1,2,428658.69,4580703.82,2.14577742641478,41.3728455317129,"0321 0321","Bicicleta","Dona",44,"Conductor","A la vorera / Andana                                                                                                                                  ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S002882    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell                                    ","Divendres",5,"Maig",13,16,"Tarda","No és causa del  vianant",0,1,0,1,2,429512.07,4581934.09,2.15583785340333,41.3840014334309,"0095B0095B","Bicicleta","Home",25,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Oci i entreteniment","Ferit lleu: Hospitalització fins a 24h",1
"2022S002899    ",10,"Sant Martí",68,"el Poblenou",42306,"Bilbao                                            ","Dissabte",5,"Maig",14,9,"Matí","No és causa del  vianant",0,1,0,1,1,433714.1,4583775.76,2.20588772709962,41.4009464453195,"0013 0015","Bicicleta","Dona",52,"Vianant","A la vorera / Andana                                                                                                                                  ","Desconegut","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002901    ",2,"Eixample",10,"Sant Antoni",329902,"Sant Antoni / Tamarit                             ","Dissabte",5,"Maig",14,12,"Matí","No és causa del  vianant",0,1,0,1,1,430133.13,4581521.64,2.16331258404175,41.3803408493886,"0166 0166","Bicicleta","Home",46,"Vianant","A la vorera / Andana                                                                                                                                  ","Oci i entreteniment","Desconegut","Ferit lleu: Hospitalització fins a 24h",1
"2022S002906    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",62609,"Marina / Icària                                   ","Dissabte",5,"Maig",14,13,"Matí","No és causa del  vianant",0,1,0,1,2,432751.35,4582465.56,2.19451692894267,41.3890657967742,"0119 0121","Bicicleta","Dona",23,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S002913    ",7,"Horta-Guinardó",33,"el Baix Guinardó",344101,"Gràcia / Lepant                                   ","Dissabte",5,"Maig",14,12,"Matí","No és causa del  vianant",0,1,0,1,2,430755.86,4584721.95,2.1703930177632,41.4092189084192,"0391 0393","Bicicleta","Home",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Hospitalització fins a 24h",1
